,File Name,Date,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,District,Year,Month,Day,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
38,MOD15A2H_006_Lai_500m_doy2006001_aid0004,2006-01-01,0.1,1.9,0.3253765,0.1566313,0.0245334,0.4,0.7,0.3,0.1,0.2,PALI,2006,1,1,28652,37038,1.2926846293452463
39,MOD15A2H_006_Lai_500m_doy2007001_aid0004,2007-01-01,0.1,3.8,0.4305946,0.29023790000000005,0.08423810000000001,0.5,0.9,0.3,0.1,0.2,PALI,2007,1,1,77550,149111,1.9227724049000643
40,MOD15A2H_006_Lai_500m_doy2008001_aid0004,2008-01-01,0.0,6.5,0.4005469,0.33492790000000006,0.1121767,0.5,0.9,0.3,0.0,0.2,PALI,2008,1,1,69452,131968,1.900132465587744
41,MOD15A2H_006_Lai_500m_doy2009001_aid0004,2009-01-01,0.1,2.8,0.3155024,0.16325810000000002,0.0266532,0.3,0.4,0.3,0.1,0.2,PALI,2009,1,1,30185,51077,1.692131853569654
42,MOD15A2H_006_Lai_500m_doy2010001_aid0004,2010-01-01,0.1,2.3,0.2742377,0.12439769999999999,0.015474799999999999,0.3,0.4,0.2,0.1,0.2,PALI,2010,1,1,24350,48213,1.98
43,MOD15A2H_006_Lai_500m_doy2010001_aid0004,2010-01-01,0.1,2.3,0.2742377,0.12439769999999999,0.015474799999999999,0.3,0.4,0.2,0.1,0.2,PALI,2010,1,1,24350,48213,1.98
44,MOD15A2H_006_Lai_500m_doy2001001_aid0005,2001-01-01,0.1,1.5,0.2923593,0.11850810000000002,0.014044200000000001,0.3,0.4,0.3,0.1,0.2,RAJSAMAND,2001,1,1,3342,7208,2.1567923399162177
45,MOD15A2H_006_Lai_500m_doy2002001_aid0005,2002-01-01,0.1,1.7,0.362078,0.1387533,0.019252500000000002,0.4,0.5,0.3,0.2,0.3,RAJSAMAND,2002,1,1,15369,42099,2.7392153035330864
46,MOD15A2H_006_Lai_500m_doy2003001_aid0005,2003-01-01,0.1,1.1,0.2612432,0.08029939999999999,0.006448000000000001,0.3,0.4,0.3,0.1,0.2,RAJSAMAND,2003,1,1,1482,3158,2.1309041835357623
47,MOD15A2H_006_Lai_500m_doy2004001_aid0005,2004-01-01,0.1,1.3,0.3099542,0.1198535,0.0143649,0.3,0.4,0.3,0.1,0.2,RAJSAMAND,2004,1,1,5376,15020,2.7938988095238093
48,MOD15A2H_006_Lai_500m_doy2005001_aid0005,2005-01-01,0.1,1.7,0.3247629,0.1283972,0.016485800000000002,0.4,0.7,0.3,0.1,0.2,RAJSAMAND,2005,1,1,3293,9348,2.8387488612207714
